PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI,Remark
49.75,121.25,17.73,21.32,0.7,10.67,7.33,103,Moderate
46.75,128.25,16.55,21.5,0.74,9.82,3.45,103,Moderate
42.25,130.5,20.2,23,0.66,10.1,3.93,104,Moderate
51,123.5,23.4,41.35,0.79,9.33,2.95,104,Moderate
59,161,20.23,22.33,0.9,10.5,8.35,104,Moderate
59,134.5,25.33,26.12,0.78,13.18,16.65,103,Moderate
41.75,127,22.1,28.88,0.69,11.68,20.55,104,Moderate
42,103,14.57,19.45,0.62,8.5,28.45,105,Moderate
34.5,126.25,13.45,21.2,0.42,66.75,28.92,107,Moderate
31.5,150.5,36.88,16.92,0.83,95.98,32.33,109,Moderate
38.25,96,26.8,19.82,0.86,92.3,51.92,110,Moderate
45.5,100.25,19.23,24.15,0.88,56.65,72.02,111,Moderate
47,106.75,16.12,27.1,0.88,32.38,78.88,111,Moderate
40.5,115,14.78,26.15,0.82,19.98,62.7,112,Moderate
37.5,111,16.2,18.67,0.96,10.73,48.98,113,Moderate
37.5,111.5,18.18,15.62,1.01,8.8,30.38,113,Moderate
32,128,9.3,18.18,0.97,7.23,20.58,113,Moderate
30.75,85.5,10.88,18.42,0.89,6.95,18.6,112,Moderate
31.5,78,15.03,22.65,0.93,7.9,21.55,111,Moderate
33,80,20.88,20.82,0.87,7.5,11.8,111,Moderate
38.5,85,20.3,61.08,0.85,9.15,14.72,110,Moderate
36,93,29.55,49.42,0.87,7.88,6.85,109,Moderate
45,82,31.12,21.12,0.86,9.73,5.85,108,Moderate
39.25,86.25,24.17,15.05,0.75,5.73,10.8,107,Moderate
41,97.75,27.78,20.97,0.71,6.1,11.8,107,Moderate
41.75,126.75,29.67,16.17,0.8,6.23,5.9,107,Moderate
35,111.75,32.38,16.87,0.87,6.45,3.93,106,Moderate
40.25,97.75,33.97,17.3,0.93,7.85,5.4,105,Moderate
49.25,104.75,26.48,19.45,1.06,9.85,10.3,104,Moderate
27.5,93.25,10.33,17.17,0.74,8.23,18.1,103,Moderate
23.25,46,9,15.3,0.82,10.22,17.65,100,Satisfactory
29.5,57.25,14.15,15.75,0.71,25.5,21.05,99,Satisfactory
35.25,74.5,14.25,30.55,0.43,32.4,30.4,97,Satisfactory
42.25,89.75,14.7,14.73,0.91,31.15,37.23,94,Satisfactory
54.5,108.5,11.25,16.03,0.8,27.88,48.03,95,Satisfactory
36.75,115,14.05,13.2,0.87,22.05,54.88,95,Satisfactory
41.25,95,14.78,9.67,0.75,17.23,52.93,95,Satisfactory
40.75,96.5,11.75,11.05,0.69,17.82,54.88,94,Satisfactory
44.25,97,21.33,11.35,0.63,14.62,46.07,93,Satisfactory
39.25,115.75,40.65,12.65,0.78,13.6,29.38,94,Satisfactory
39.25,128.25,24.32,13.58,0.71,10.97,24,94,Satisfactory
34.25,126.25,23.47,14.88,0.71,10.5,15.17,95,Satisfactory
27.5,105.25,22.28,14.02,0.83,9.98,12.28,96,Satisfactory
32,94.75,31.38,15.17,0.9,12.35,7.83,97,Satisfactory
34.25,97,28.17,14.5,0.83,11.67,6.35,98,Satisfactory
34,116.5,34.1,17.53,0.79,9.87,3.93,98,Satisfactory
32.75,88.25,36.63,30.15,0.89,9.55,4.9,99,Satisfactory
27.75,80.5,30.48,13.45,0.77,8.28,4.88,97,Satisfactory
28.5,60.25,29.97,10.08,0.77,7.92,4.4,95,Satisfactory
24.75,85.5,21.78,19.1,0.74,9.8,7.35,94,Satisfactory
18,74.75,9,25.45,0.69,10.17,16.65,94,Satisfactory
25.5,41,9.98,23.2,0.69,11.78,19.6,93,Satisfactory
30.5,49.5,8.73,13.2,0.75,10.3,20.08,93,Satisfactory
32.75,64.25,9.6,14.1,0.62,8.17,32.82,93,Satisfactory
34.25,77,7.95,9.78,0.68,8.37,36.73,92,Satisfactory
32,76.75,7.62,7.95,0.54,8.82,39.68,91,Satisfactory
29.25,76,5.82,9.85,0.57,11.08,48.52,89,Satisfactory
40.25,77.5,6.7,9.08,0.56,8.45,53.4,88,Satisfactory
35,83,11.17,9.35,0.6,8.38,53.9,88,Satisfactory
37.75,94,8.43,9.02,0.68,7.48,43.62,88,Satisfactory
42.75,101,14.6,10.38,0.6,9.03,35.27,87,Satisfactory
35.5,121.25,15.9,11.2,0.65,8.4,26.45,87,Satisfactory
38,88,18.45,11.7,0.71,7.65,15.65,85,Satisfactory
37,81.25,14.75,12.33,0.79,7.7,10.8,84,Satisfactory
34,69.75,18.5,16.2,0.82,9.23,13.25,83,Satisfactory
56.75,60,22.65,29.75,0.83,8.3,6.85,82,Satisfactory
32.5,108.5,17.83,15.05,1.08,8.6,16.68,93,Satisfactory
24,71,12.5,13.05,0.87,7.98,22.08,93,Satisfactory
20.5,60.75,10.9,16.05,0.86,8.1,33.8,93,Satisfactory
19.25,57,12.35,17.7,0.22,13.35,30.4,93,Satisfactory
19.5,55.25,10.55,11.65,0.48,11.65,35.27,93,Satisfactory
17.5,50.5,14.58,8.42,0.53,9.88,34.8,93,Satisfactory
16.75,51.5,12.43,12.77,0.56,12.65,35.27,93,Satisfactory
17.5,51,8.12,7.95,0.53,10.82,34.8,72,Satisfactory
13.75,53.75,7.12,6.55,0.52,9.12,32.35,73,Satisfactory
16.25,53.5,16.27,16.93,0.49,9.95,28.42,73,Satisfactory
20.5,57.25,33.17,11.65,0.63,9.15,18.1,74,Satisfactory
32.25,77.5,36.4,9.15,0.56,8.45,11.78,74,Satisfactory
35.75,134.25,31.83,10.6,0.68,9.72,9.3,77,Satisfactory
37.25,169.5,41.17,10.8,0.75,10.27,6.35,81,Satisfactory
44.25,136,48.08,9.22,0.8,11.43,2,83,Satisfactory
44,155.5,45.35,10.9,0.92,11.92,2,86,Satisfactory
41,142.25,45.22,14.03,0.83,9.75,2,89,Satisfactory
42,116,49.87,11.52,0.85,10.4,2,89,Satisfactory
43.5,107.75,45.9,17.93,0.84,8.15,2,89,Satisfactory
47.5,107.75,41.1,9.7,0.82,9.2,18.65,91,Satisfactory
52,140.25,45.9,9.75,0.85,7.33,2,93,Satisfactory
65.75,121.75,36.78,16.28,1.96,10.15,3.43,98,Satisfactory
53.5,131,32.67,15.58,1.85,11.43,3.9,98,Satisfactory
49,177.75,36.55,12.4,1.48,11.02,3.9,99,Satisfactory
30.5,173.25,29.9,8.52,0.99,9.53,9.78,101,Moderate
27.75,84.75,14.97,17.45,0.83,10.02,20.1,102,Moderate
24.75,63.5,9.4,17.65,0.78,9.1,23.05,102,Moderate
28.5,50.25,9.95,13,0.31,7.4,29.4,102,Moderate
32.75,64.25,13.65,16.75,0.56,9.17,33.32,102,Moderate
31.25,77.25,12.35,16.3,0.55,10.95,41.15,103,Moderate
30,79.75,10.2,15.4,0.49,12.45,45.57,103,Moderate
31.75,82.75,14.05,14.95,0.48,11.2,43.1,104,Moderate
31.5,75.5,13.83,25.15,0.5,10.72,41.68,105,Moderate
39.5,76.75,19.55,12.78,0.6,9.25,29.4,106,Moderate
35.75,84.5,17.13,11.82,0.46,8.58,18.6,106,Moderate
43.5,92,21.87,12.6,0.64,9.03,14.2,107,Moderate
36.5,109,15.23,12.12,0.61,7.43,12.75,106,Moderate
46.75,82.75,23.9,11.35,0.64,7.95,10.8,104,Moderate
46,95.25,25.55,12.75,0.7,10.15,7.83,103,Moderate
43.25,99,31.27,14.22,0.86,9.68,6.85,101,Moderate
38.75,83.75,26.72,13.98,0.8,7.9,8.8,99,Satisfactory
40,66,29.73,13.15,0.81,7.2,7.33,97,Satisfactory
37.25,69,20.98,13.83,0.81,6.6,11.8,95,Satisfactory
36.5,69,17.7,14.77,0.79,6.05,12.23,94,Satisfactory
29.5,68.25,15.4,14.62,0.79,6.08,10.3,91,Satisfactory
23.25,57,17.35,14.08,0.77,6.1,6.85,88,Satisfactory
28.75,33,35.95,14.8,0.88,6.53,2.48,84,Satisfactory
33,43.75,18.6,13.98,0.84,7.1,7.8,78,Satisfactory
31.75,48.75,14.73,15.08,0.76,6.65,10.8,73,Satisfactory
35.25,53.5,14.85,15.58,0.87,6.8,12.25,72,Satisfactory
29.5,70.25,12.55,14.55,0.79,6.25,17.63,72,Satisfactory
32,72.25,7.2,20.9,0.43,11.95,56.85,73,Satisfactory
44,80.75,16.85,16.55,0.77,10.08,37.75,74,Satisfactory
42.25,93.25,14.3,13.43,0.59,11.47,50.48,74,Satisfactory
37.5,84.5,12.42,14.1,0.59,11.73,50.98,75,Satisfactory
39,75.25,8.75,12.82,0.61,9.4,51.95,74,Satisfactory
40.75,80.25,12.92,12.93,0.69,8.45,46.05,74,Satisfactory
44.75,89.25,19.08,11,0.68,5.8,33.8,75,Satisfactory
41.25,106,16.3,14.5,0.69,9.88,32.82,76,Satisfactory
43,103.75,15.08,12.42,0.72,7.23,25,76,Satisfactory
47.5,93.75,17.25,12.12,0.78,7.75,21.05,76,Satisfactory
52.25,116.5,27.28,13.27,0.86,7.9,15.2,77,Satisfactory
57.75,138,33.35,13.03,0.86,8.2,10.3,79,Satisfactory
73.25,161.25,41.35,12.4,1.09,8.47,4.93,82,Satisfactory
72.25,181.75,51.82,12.17,1.18,9.82,2.95,86,Satisfactory
57.75,161.5,49.58,13.65,1.06,8.9,3.93,90,Satisfactory
58.25,134,46.2,13.08,1.03,9.4,3.95,92,Satisfactory
63.25,117.5,41,13.15,1.01,10.38,16.65,94,Satisfactory
63.75,122.5,53.5,13.08,1.05,9.8,2,97,Satisfactory
64.5,138.75,38.47,12.67,0.86,8.45,10.77,100,Satisfactory
77.5,110.5,37.92,16.38,1.41,8.6,6.88,102,Moderate
79.5,127.25,35.33,17.75,1.69,10,6.38,104,Moderate
62.75,144.75,37,14.58,1.07,10.85,18.1,107,Moderate
60,120.5,23.7,13.82,0.91,10.6,25.97,109,Moderate
52.75,113,14.3,13.78,0.91,9.55,38.22,110,Moderate
47.25,109,11.85,15.9,4.51,14,46.55,131,Moderate
45,114.75,12.83,15.65,0.55,13.83,49.5,131,Moderate
41.75,96,10.92,15.05,0.5,12.73,48,131,Moderate
40.25,82.75,7.07,14.45,0.45,10.88,47.05,131,Moderate
46,81.25,11.67,11.6,0.57,8.6,40.68,131,Moderate
44.5,89.25,11.15,12.45,0.52,7.63,34.8,131,Moderate
50.5,97.25,20.3,12.7,0.6,9.88,27.95,131,Moderate
56.5,124.25,32.1,13.37,0.73,10.55,18.6,114,Moderate
63.75,160.25,37.07,14.28,0.78,9.75,12.75,116,Moderate
72,139.75,31.45,14.55,0.78,9.8,9.8,116,Moderate
67,139,24.63,13.97,0.78,8.93,10.8,116,Moderate
67.75,113,37.82,13.38,0.86,9.45,7.8,115,Moderate
72.5,140.25,42.7,14.47,0.86,8.85,7.33,114,Moderate
64.5,149.75,36.6,15.7,0.91,10.42,9.8,113,Moderate
71,121.75,44.25,14.12,1,9.55,4.9,113,Moderate
69,120.5,43.25,13.23,0.93,8.9,11.8,113,Moderate
71.75,120.25,44.58,15.88,1,10.42,4.9,113,Moderate
72.5,124.5,34.9,17.85,1.04,10.55,10.3,113,Moderate
77,129,30.75,17.98,1.23,9.4,8.3,113,Moderate
67.25,138,22.4,19.65,1.12,8.8,12.75,114,Moderate
63.5,109,20.1,18.43,1,8.48,16.65,113,Moderate
59.75,104,14.25,17.92,0.86,11.05,25.47,112,Moderate
62.25,104,16.38,19.65,0.9,14.75,33.32,112,Moderate
63.75,119.5,13.3,22.2,0.37,26.05,60.28,112,Moderate
66,110.5,12.6,16.75,0.83,21.93,50,112,Moderate
65.5,106,10.37,18.77,1.03,22.42,54.4,112,Moderate
57,110.25,10.72,16.68,0.96,18.57,53.43,112,Moderate
58.5,109,14.22,15.45,1.07,18.2,55.38,113,Moderate
56,113.75,10.7,16,1.08,15.15,49.02,114,Moderate
52.5,114.25,8.97,16.63,0.81,12.78,38.22,114,Moderate
51,106.75,8.7,15.2,0.75,7.8,28.42,115,Moderate
47.75,100,13.1,15.8,0.72,11.68,30.87,115,Moderate
45.5,89.75,10.15,16.3,0.73,10,24.03,114,Moderate
50.5,79.25,18.77,14.25,0.82,9.78,17.6,111,Moderate
53.75,92.5,23.93,14.43,0.89,9.45,15.2,109,Moderate
56.25,118.25,16.53,15.85,0.96,8.15,16.17,109,Moderate
48,131,20.55,14.42,0.77,7.78,14.23,109,Moderate
53.5,103.5,17.23,16.1,0.7,8.23,14.2,108,Moderate
66.75,94.75,33.75,14.35,0.77,8.1,6.85,107,Moderate
57.5,105,44.15,15.45,0.87,7.12,4.9,106,Moderate
59,129.5,47.88,14.62,0.72,7.23,4.43,107,Moderate
58.25,132.25,40.4,14.93,0.47,8.18,4.4,107,Moderate
58.25,138.75,30.43,16.17,0.48,5.2,3.9,107,Moderate
60,143.75,38.77,15.4,0.73,4.38,4.9,107,Moderate
45,122.75,22.45,15.85,0.59,3.9,17.65,108,Moderate
43.5,86,7.32,13.67,0.49,2.85,28.92,107,Moderate
40.75,77.25,10.05,13.08,0.34,2.3,35.75,107,Moderate
45,80.25,7.6,14.2,1.02,4.75,41.18,105,Moderate
40.75,84,12.08,14.15,0.38,8.8,43.12,105,Moderate
37,76.25,8.75,11.82,0.34,7.3,48,104,Moderate
48,80,8.27,13.15,0.48,5.88,52.95,103,Moderate
49.5,86.25,11.48,13.85,0.55,5.25,54.9,102,Moderate
51.5,100.75,12.3,14.42,0.62,7.1,55.38,102,Moderate
45.75,104.5,13.93,15.12,0.68,6.57,49.48,102,Moderate
37.5,101.75,11.7,14.15,0.65,8.95,31.85,102,Moderate
40.25,95.25,12.18,13.12,0.63,8.6,28.4,101,Moderate
37.25,88,11.4,11.78,0.63,6.6,28.9,101,Moderate
44,90.75,22.9,10.38,0.71,10.8,24,102,Moderate
44,88.5,15.9,12.2,0.7,9.67,22.08,102,Moderate
38.5,84,16.02,11.45,0.71,8.53,20.6,101,Moderate
38,87.75,27.17,13.05,0.69,6.65,14.7,99,Satisfactory
40.25,101,13.92,12.22,0.7,6.48,19.1,99,Satisfactory
38,72.75,19.23,13.58,0.73,5.98,18.6,98,Satisfactory
38.75,74.75,16.28,13.3,0.76,4.4,25.45,97,Satisfactory
45,66.5,17.15,13.12,0.83,5.8,21.55,94,Satisfactory
50.5,77,19.22,15.85,0.96,5.48,18.15,92,Satisfactory
55.5,83.75,14.57,16.35,1.14,7.8,20.6,90,Satisfactory
56,88.25,16.75,17.97,1.56,8.78,17.63,87,Satisfactory
51.25,93.25,16.1,15.8,1.07,10.05,26.95,86,Satisfactory
46.5,86,11.15,15.17,0.9,9.12,38.7,86,Satisfactory
47.5,82.25,9.9,14.9,0.83,12.25,46.05,86,Satisfactory
44.25,88,7.6,15.6,0.58,7.38,50,87,Satisfactory
38.5,86,7.67,12.22,0.66,9.8,47.5,87,Satisfactory
37.5,82.5,6.3,12.35,0.62,12.9,48,87,Satisfactory
36,75.5,6.8,12.3,0.62,11.97,47,87,Satisfactory
34,71,6.47,12.3,0.61,11.08,44.57,86,Satisfactory
28,61,7.25,12.15,0.57,10.65,40.2,85,Satisfactory
28.75,58,6.5,12.25,0.64,12.18,38.23,83,Satisfactory
32.75,62.25,9.25,12.65,0.62,4.12,32.35,81,Satisfactory
39.75,79.25,13.7,12.27,0.66,2.45,26.45,80,Satisfactory
45,92.25,15.4,12.08,0.78,7.78,23.53,81,Satisfactory
45.75,89.25,13.28,12.68,0.77,9.78,23.5,80,Satisfactory
48.25,80,16.2,12.55,0.78,9,19.6,80,Satisfactory
48.25,89.25,24.62,13.23,0.83,9.15,13.73,80,Satisfactory
45,100.25,26.25,14.55,0.89,9.95,14.7,81,Satisfactory
42,97.75,16.85,13.05,0.75,8.23,20.08,81,Satisfactory
40,79,31.25,12.5,0.84,8.03,12.75,81,Satisfactory
36.75,94,19.47,13.1,0.72,7.68,21.08,82,Satisfactory
38.5,70.75,11.13,14.17,0.87,6.93,24,82,Satisfactory
47,68.5,15.42,14.25,0.83,5.82,18.63,82,Satisfactory
49.25,84.5,36.55,14.48,1.03,7.65,9.8,82,Satisfactory
45.75,96.25,34.58,14.07,1.03,8.28,13.25,82,Satisfactory
36.5,101,14.23,14.08,0.71,7.35,27.45,82,Satisfactory
19.5,70,12.78,12.58,0.39,6.93,28.9,82,Satisfactory
17.75,49.5,10.77,13.12,0.41,6,27.9,80,Satisfactory
17,49.75,13.5,12.6,0.24,8.35,27.4,79,Satisfactory
20,46,14.05,12.2,0.53,9.83,30.85,77,Satisfactory
18.75,64.25,14.83,16.97,0.43,6.48,31.87,76,Satisfactory
24.75,57.5,14.85,15.97,0.49,6.95,37.73,75,Satisfactory
25.25,54.5,14.45,15.83,0.57,8.18,36.25,75,Satisfactory
22.75,58.75,12.55,14.18,0.57,7.28,33.32,75,Satisfactory
27.75,59,12.9,8.72,0.55,7.65,28.9,75,Satisfactory
19.25,64.25,21.88,8.4,0.52,7.7,19.13,75,Satisfactory
25.75,80,25.75,8.48,0.64,7.48,11.78,75,Satisfactory
32.75,104,18.57,9.2,0.67,7.2,11.3,75,Satisfactory
30,91.25,18.15,9.5,0.85,8.05,9.8,75,Satisfactory
33.75,77.25,22.33,8.42,0.89,8.88,5.88,75,Satisfactory
34.75,78.5,28.4,10.35,0.77,9.52,2.48,75,Satisfactory
31.5,100.5,24.55,10.53,0.81,12.42,2.95,75,Satisfactory
30.25,85.75,28.32,10.5,0.72,10.4,3.43,74,Satisfactory
22,98.5,29.53,12.3,0.72,10.25,5.9,75,Satisfactory
22.25,90,24.02,13.05,0.72,8.05,4.9,75,Satisfactory
25,88,24.95,11.4,0.72,8.08,3.45,76,Satisfactory
32,119.25,30.28,10.75,0.69,9.25,2,78,Satisfactory
36,117.25,37.02,10.55,1.07,10.53,2.95,79,Satisfactory
36.5,98.25,32.33,11.98,0.92,10.2,2.95,79,Satisfactory
27.5,83.5,20.97,13.27,0.9,9.8,10.3,79,Satisfactory
22.5,53.5,15.25,13.33,0.83,10.02,18.62,78,Satisfactory
20.75,49,14.67,13.13,0.77,11.4,25,78,Satisfactory
20.75,52.5,19.7,15.75,0.58,12.57,25.97,78,Satisfactory
21.5,64.75,11.92,14.48,0.75,10.53,32.33,79,Satisfactory
18.25,63,13.97,10.78,0.41,5.9,36.25,79,Satisfactory
15.25,55.25,11.12,10.43,0.34,9.35,39.7,79,Satisfactory
22.5,55.25,12.75,9.52,0.4,9.05,40.2,79,Satisfactory
24,64,11.15,10.7,0.48,9.12,39.2,79,Satisfactory
25.25,72.25,12.2,10.35,0.61,11.5,36.25,79,Satisfactory
28.5,81.75,20.15,10.12,0.64,8,27.42,80,Satisfactory
28,94.25,19.95,10.6,0.77,6.67,16.65,81,Satisfactory
29.5,107,22.28,11.25,0.88,6.17,9.3,81,Satisfactory
26,98.75,18.15,11.45,0.86,8.87,4.4,81,Satisfactory
27,69.75,16.07,12.73,0.85,8.78,3.9,81,Satisfactory
26.75,57,25.35,9.9,0.75,8.18,2,80,Satisfactory
25.5,81.5,19.28,12.48,0.9,4.77,3.9,79,Satisfactory
22.75,54.25,19.05,11.8,0.94,2.5,4.4,78,Satisfactory
20.75,41,17.1,11.72,0.69,3.02,4.9,75,Satisfactory
26,48.5,17.7,12.5,0.77,3.85,2.95,74,Satisfactory
25.5,62.25,18.5,12.08,0.61,2.22,2,73,Satisfactory
28.25,61.5,22.35,12.88,0.4,1.4,2,70,Satisfactory
38,68.75,24.95,14.27,0.52,7.32,3.9,68,Satisfactory
26.25,97.75,20.6,11.98,0.56,10.15,3.45,68,Satisfactory
18.25,72.75,13.28,12.85,0.61,9.38,6.38,68,Satisfactory
18.75,51.75,8.1,12.42,0.36,6.53,12.28,68,Satisfactory
21,45.5,9.72,11.75,0.61,6.8,19.6,68,Satisfactory
27,50,10.8,13.45,0.23,14.65,25.45,67,Satisfactory
21.25,57.5,9.32,20.08,0.45,14.25,28.9,67,Satisfactory
30.75,54.25,10.5,10.97,0.41,17.57,31.35,67,Satisfactory
29.75,58.25,10.23,12.22,0.36,15.4,31.85,67,Satisfactory
26,62,12.6,10.82,0.38,13.8,28.4,67,Satisfactory
17,68.25,9.62,25.55,0.43,12.7,25.95,67,Satisfactory
