PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI,Remark
7.97,26.39,5.22,8.62,0.59,6.62,14.29,46,Good
6.48,33.2,6.48,8.66,0.61,6.01,11.52,40,Good
7.2,23.83,3.54,8.32,0.47,5.97,11.63,33,Good
8.27,34.11,5.73,7.23,0.5,7.01,18.9,49,Good
9.21,27.27,5.86,6.04,0.53,6.69,7.51,32,Good
19.78,27.62,3.26,6.59,0.44,6.91,11.95,42,Good
8.85,49.86,4.9,6.3,0.66,7.64,23.67,53,Satisfactory
18.48,30.54,3.86,5.01,0.36,5.44,20.73,47,Good
11.04,62.52,12.71,6.68,0.76,7.38,17.57,79,Satisfactory
9.74,38.34,5.11,6.78,0.48,6.21,16.31,47,Good
10.35,33.83,4.84,5.66,0.66,7.51,12.65,51,Satisfactory
22.81,30.98,5.55,4.43,1.01,5.38,7.55,52,Satisfactory
28.54,53.85,6.96,5.76,0.8,7.09,34.26,88,Satisfactory
18.46,56.36,22.75,8.96,0.85,7.28,32.62,78,Satisfactory
23.9,39.45,14.17,12.76,0.49,6.37,30.3,90,Satisfactory
14.42,37.71,26.74,12.69,0.56,6.01,12.46,43,Good
12.42,36.29,6.9,7.77,0.43,9.19,35.44,55,Satisfactory
16.78,36.29,10.28,4.63,0.51,5.82,36.88,52,Satisfactory
19.77,42.22,5.94,7.82,0.4,7.31,50.24,84,Satisfactory
22.63,62.11,10,9.3,1.03,12.02,43.79,95,Satisfactory
15.2,54.13,14.93,9.67,0.26,9.43,41.32,58,Satisfactory
9.58,45.09,9.26,8.99,1.18,6.82,54.21,125,Moderate
25.62,28.33,9.05,13.54,0.59,7.27,122.21,192,Moderate
40.32,56.44,13.88,11.52,0.48,7.3,44.62,86,Satisfactory
13.07,66.25,11.3,10.61,0.5,7.57,24.35,62,Satisfactory
16.56,37.35,8.59,9.78,0.46,6.09,29.05,78,Satisfactory
19.57,41.96,7.25,9.48,0.41,6.48,62.01,114,Moderate
30.96,44.72,7.72,10.79,0.34,5.99,64.58,103,Moderate
32.1,72.18,10.82,11.18,0.36,11.72,82.13,134,Moderate
31.82,83.29,10.17,9.85,0.29,6.4,105.09,168,Moderate
37.5,74.79,9.57,9.97,0.32,9.41,100.6,150,Moderate
23.25,84.96,11.57,10.06,0.57,4.53,79.11,127,Moderate
27.42,61.1,15.21,9.62,0.43,9.78,57.54,106,Moderate
31.26,57.28,19.38,7.89,0.32,6.83,77.6,129,Moderate
28.12,72.82,10.78,9.02,0.4,7.7,100.25,136,Moderate
32.33,70.21,13.18,11.27,0.38,7.28,126.43,155,Moderate
19.29,55.74,18.42,13.99,0.51,6.22,44.58,87,Satisfactory
17.99,31.22,13.9,17.3,0.42,5.87,65.87,84,Satisfactory
12.72,29.24,10.45,14.89,0.32,6.37,63.95,85,Satisfactory
13.65,24.79,9.03,10.79,0.4,5.82,72.26,91,Satisfactory
17.64,35.39,6.11,9.14,0.46,7.1,60.03,76,Satisfactory
23.43,47.81,10.06,9.74,0.49,5.81,46.41,60,Satisfactory
25.92,57.11,13.82,10.29,0.79,6.68,46.96,69,Satisfactory
32.7,68.27,15.08,9.72,0.61,6.36,36.27,64,Satisfactory
31.58,103.88,11.83,11.4,0.55,8.41,47.71,98,Satisfactory
22.9,107.31,13.57,13.41,1.13,8.66,62.14,128,Moderate
24.23,69.96,10.96,10.54,0.75,5.29,61.1,113,Moderate
17.92,78.11,8.32,10.85,0.98,9,59.68,87,Satisfactory
17.38,68.72,7.85,10.72,0.46,6.66,52.83,79,Satisfactory
19.06,55.59,9.13,9.36,0.84,6.18,54.36,69,Satisfactory
18.81,59.46,11.31,10.32,1.02,5.43,62.58,78,Satisfactory
18.69,55.66,11.7,11.32,1.01,5.53,62.72,88,Satisfactory
17.85,50.06,12.39,12.21,0.81,7.62,68.32,101,Moderate
18.09,43.47,11.42,11.67,1.05,6.86,63.17,80,Satisfactory
18.93,45.11,7.26,9.25,1,6.14,64.6,89,Satisfactory
16.86,60.89,7.4,10.94,0.55,6.76,50.27,71,Satisfactory
16.85,48.26,8.54,10.01,0.52,7.12,50.39,68,Satisfactory
16.46,54.97,10.6,11.26,0.57,7.55,43.4,56,Satisfactory
18.4,33.5,17.41,11.74,0.61,4.72,40.44,65,Satisfactory
20.31,49.43,13.66,13.37,0.38,5.51,48,66,Satisfactory
23.99,49.14,12.76,12.81,0.41,7.54,61.59,96,Satisfactory
20.36,46.59,16.64,15.06,0.51,5.01,46.14,68,Satisfactory
15.08,41.99,15.53,13.73,0.52,6.62,53.13,76,Satisfactory
19.42,38.79,13.96,10.28,0.4,4.9,44.36,70,Satisfactory
13.93,69.33,13.23,10.96,0.41,5.6,47.28,75,Satisfactory
18.29,48.97,10.72,11.11,0.33,6.52,44.77,73,Satisfactory
17.25,41.01,17.63,13.21,0.63,6.53,37.35,85,Satisfactory
13.43,32.02,6.82,11.04,0.37,4.65,65.23,83,Satisfactory
16.83,26.94,5.31,9.79,0.46,5.17,54.03,73,Satisfactory
18.16,38.25,7.43,9.56,0.37,5.69,61.43,75,Satisfactory
16.89,38.17,6.81,10.87,0.36,5.36,53.27,63,Satisfactory
15.95,30.98,6.37,10.19,0.39,6.75,54.84,62,Satisfactory
14.05,25.24,7.16,16.27,0.64,8.77,37.76,79,Satisfactory
9.85,30.86,7.74,13.78,0.16,6.45,30.33,37,Good
8.68,29.97,7.5,15.05,0.4,6.02,21.63,35,Good
7.5,26.62,5.01,12.07,0.31,6.29,19.52,31,Good
7.75,24.01,6.56,11.23,0.3,7.42,20.89,29,Good
10.45,28.62,8.7,13.07,0.44,10.4,25.38,32,Good
12.7,41.47,11.13,14.62,0.47,9.94,28.24,39,Good
14.48,49.26,9.81,11.05,0.42,8.98,32.3,48,Good
17.96,35.5,12.77,12.61,0.5,9.81,24.28,42,Good
16.87,47.61,14.95,14.75,0.69,6.51,32.73,73,Satisfactory
17.42,50.6,7.8,14.92,0.38,12.46,31.82,59,Satisfactory
17.79,56.44,16.26,15.6,0.47,11.83,28.85,55,Satisfactory
18.75,68.97,16.25,14.24,0.62,10.42,26.08,86,Satisfactory
11.92,82.27,15.45,16.15,0.55,9.13,27.44,100,Satisfactory
17.74,46.76,7.75,16.19,0.57,10.97,29.93,85,Satisfactory
21.78,80.26,20.1,18.23,0.49,10.98,27.33,57,Satisfactory
28.31,76.32,20.63,18.8,0.44,9.64,25.7,85,Satisfactory
27.1,98.01,24.83,18.71,0.54,6.69,31.12,85,Satisfactory
